Gene	S00022	S00050	S00472	S00501	S00827	S00830	S00836	S00837	S01453	S01494	S01556	S01563	S01698	S01728	S01792
ABCE1	7.69723	9.65878	8.20107	9.59762	9.67164	8.19233	8.71728	14.4918	8.46557	9.22741	23.01	7.94039	5.24196	13.7488	8.22108
ABCF1	30.5671	27.6105	26.0491	14.1431	33.8253	25.6432	48.2796	34.4174	21.5258	7.78182	24.7305	29.2904	16.0547	9.18798	15.7809
ABCF2	10.9396	8.49071	11.3754	10.3849	13.3289	8.66095	9.78521	8.79072	10.4982	25.7622	10.2585	17.0787	10.1203	10.1415	7.36478
ABCF3	27.2102	25.6187	41.4157	27.2503	18.0186	24.1061	24.8073	27.6745	30.9294	26.7913	24.5644	26.2962	22.4749	28.2358	24.5903
ABCG1	9.54856	21.4332	32.1752	28.0016	11.2237	23.5182	10.0958	12.784	19.2694	19.9023	5.77022	15.741	9.19166	23.4346	5.28566
ABCG2	1.89658	1.80422	0.654204	0.503744	1.29045	0.514521	0.953395	0.360898	0.783818	0.462851	0.906366	1.8403	0.492614	0.527504	5.56567
ABCG4	0.073813	0.084939	0.168865	0	0.205525	0.350319	0	0.619496	0.385197	17.4483	0	0.142265	0.135791	0.079116	0.322937
ABCG5	0	0	0	0	0	0	0	0	0	0.052792	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0.128869	0	0	0	0	0
ABHD1	0.032711	0	0	0	0	0.035102	0.101375	0.333845	0.357734	0.201421	0	0.127518	0	0	0
ABHD10	35.6991	21.0392	23.5058	32.5969	36.0619	12.4879	26.9379	28.5237	53.0531	57.2284	19.7108	23.4756	20.9375	12.338	25.9951
ABHD11	9.85452	16.2229	27.3898	16.3311	17.8202	8.21118	15.3663	5.12585	10.2252	12.5436	7.15747	12.5342	8.40709	22.0154	14.0827
ABHD12	30.5532	70.0402	74.2722	34.1484	47.7107	41.3943	6.98101	1.00E-05	22.4801	34.3783	38.8007	39.2293	14.3507	100.004	16.521
ABHD13	8.0808	5.28672	3.68668	6.69384	8.35925	4.16594	5.39548	5.04542	13.5009	9.2035	5.32251	4.56156	6.77882	7.73828	3.99569
ABHD14A	8.44731	14.8074	16.3101	19.9255	10.6458	15.733	5.10627	4.7334	9.07559	24.2251	12.0895	8.74228	13.0694	14.9698	10.5803
ABHD14B	4.58521	3.84623	4.86604	12.3524	2.75179	8.70235	5.88556	9.65287	6.26402	14.8863	7.78134	9.53441	12.0515	9.3607	5.09768
ABHD2	50.5457	41.5727	85.1088	35.1612	41.4978	46.9528	33.8073	36.6126	49.3466	15.9386	18.977	40.24	26.3571	19.9471	37.6651
ABHD3	26.9532	32.4324	36.6871	40.7938	33.1199	21.8465	24.7416	44.9933	25.8151	26.3814	18.4352	24.3876	28.0712	29.7682	32.17
ABHD4	11.5484	20.5515	11.1402	10.1059	8.9656	21.8948	19.719	9.59772	28.0904	29.1012	6.90384	17.5672	14.1	21.0899	21.8205
ABHD5	8.55878	12.8648	12.09	22.1922	13.858	11.0515	7.5484	10.7517	14.2891	5.31056	15.5593	14.7122	17.5443	11.482	14.7962
ABHD6	2.61314	1.40222	2.26016	4.43812	2.05678	2.96586	1.90942	1.76634	4.27322	4.64289	1.79074	3.88541	2.78443	3.54091	7.13086
ABHD8	14.6182	20.1515	25.684	25.8195	27.9524	11.5643	12.7563	9.47603	26.5384	22.4223	15.2032	19.3883	22.0968	21.4472	13.1022
ABI2	21.3693	45.222	17.8488	12.7545	29.7741	12.6386	17.3654	15.9641	28.4066	19.1766	11.8564	15.091	14.7729	20.8648	20.1778
ABI3	1.25928	2.6519	5.40211	6.89419	4.15408	9.33389	5.20968	7.26371	2.20474	12.4098	3.71774	10.1626	7.79366	2.50705	3.87105
ABL1	11.9625	23.7542	50.4694	27.622	30.641	26.04	20.8694	16.0538	37.2091	29.7811	15.2539	33.7183	20.8157	33.2305	31.244
ABL2	4.00729	4.57575	5.11827	3.69338	4.34812	4.19868	3.35684	6.05307	5.02052	11.0558	6.18345	5.47387	4.05798	3.8769	6.56713
ABLIM1	0	0.782892	0	32.7331	13.423	0	1.42816	1.12898	9.56389	20.6625	1.32782	6.26007	4.35127	0.833525	4.43665
ABLIM3	0.171722	0.317411	0.000394	0.004577	0.38282	0.171621	1.28936	0.004454	0.848994	0.074184	0.148312	0.088388	0.005504	0.003461	0.177005
ABR	24.1415	22.4969	29.1479	40.3013	51.7041	15.795	28.9713	19.1403	53.6515	22.7697	29.1613	49.0417	27.4227	29.7409	19.2671
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABT1	22.8843	12.5467	21.5582	19.111	18.5235	17.851	23.1972	17.0145	16.4804	19.7821	20.9193	30.8889	23.3112	33.257	10.1917
ABTB1	0.000303	0.000315	0.000397	0.000148	0.000436	2.80E-05	1.70E-05	0.000227	5.00E-06	3.80E-05	7.92369	0.000158	0.000422	5.00E-06	0.000197
ABTB2	3.32312	15.672	13.88	5.85762	12.8596	5.15212	1.93939	0.867453	4.93531	10.4891	0.937796	2.61788	10.6392	2.34984	3.55248
ACAA1	7.97897	9.99617	9.22702	11.6536	14.0064	16.8472	10.2097	17.5315	6.95771	9.32657	8.15576	19.3148	17.3424	13.2891	11.1351
ACAA2	61.5035	78.4977	75.4987	71.8466	52.9915	73.4066	66.5062	42.2758	68.001	28.8134	78.0091	60.2857	65.8862	80.1492	111.215
ACACA	7.42701	15.5108	3.02847	8.5658	6.75078	8.14278	10.2988	9.58198	10.5918	4.42645	6.1229	7.38876	7.60479	7.71071	8.33301
ACACB	2.48844	3.41283	2.31873	2.49941	1.87358	2.77604	2.97087	2.97438	1.21105	3.03545	0.535582	1.59086	1.45012	2.67632	1.19217
ACAD10	6.88224	6.90376	8.0798	10.4287	7.03314	5.31483	8.42776	5.91332	7.85939	9.44922	3.67123	7.47241	6.40604	9.10375	7.30114
ACAD11	6.36935	5.15387	1.87783	6.5075	3.14076	5.97232	6.15558	6.73998	3.85325	2.85036	2.21856	7.35089	5.44176	10.1295	5.52628
ACAD8	11.8489	1.63434	0.602121	10.811	1.82759	7.09588	10.8862	13.2241	1.06124	11.642	5.30667	11.2691	6.12235	12.5331	3.89432
ACAD9	24.3744	34.4773	15.1087	27.5085	18.6417	11.4475	17.7467	26.7012	25.0965	42.1939	15.1454	19.8388	15.144	31.1549	17.2884
ACADL	0	0.405216	0.242955	0	0	0	0.360161	1.10443	0.208804	0.192466	0.157692	1.0349	0.75091	0.94452	0.318832
ACADM	54.1851	20.1035	23.1766	30.8083	26.5151	22.8676	39.1131	45.1288	29.0513	21.7403	68.4199	23.3605	18.856	35.1865	47.2715
ACADS	9.64768	6.47803	11.5336	11.9017	7.31096	7.61825	11.9642	10.3676	10.1933	15.7036	5.18187	11.924	7.67472	12.3802	4.34357
ACADSB	2.64494	2.15846	2.5019	4.43021	1.89665	2.89757	6.08802	19.2188	4.93948	3.87417	29.7699	3.83599	4.55935	5.82532	3.27495
ACADVL	15.9443	8.58232	4.11464	0.060831	16.0365	1.68054	13.1753	0.930554	5.98117	3.16364	1.64548	0.041357	4.57142	1.94165	1.3065
ACAP1	0.203735	1.33723	1.3331	3.70646	1.65035	9.1492	3.17916	5.10935	0.212386	0.408586	0.514104	5.51275	4.35047	0.744365	0.311509
ACAP2	39.6795	26.5623	18.0728	35.7582	27.8237	12.7398	21.1903	23.7107	35.4483	18.1295	8.86611	19.0312	18.135	26.7244	18.6861
ACAP3	8.3531	4.5918	12.9035	0.998051	4.62345	2.45044	2.37039	2.23115	1.67256	5.56706	7.2436	9.32226	3.66188	3.92699	3.43205
ACAT1	23.0411	27.1942	23.8254	27.966	30.5602	14.3143	18.5367	35.6214	17.2906	52.0779	34.0773	23.9796	18.5379	20.2729	26.3877
ACAT2	41.1612	93.133	28.0479	36.0564	56.6055	24.4181	32.4355	53.7493	38.4279	26.571	71.5458	49.3888	51.472	29.9863	33.7591
ACBD3	21.4193	21.8455	23.7589	25.0458	27.7533	19.1381	26.4683	32.0857	26.0548	21.6474	32.4115	25.6305	22.6536	29.9123	36.0692
ACBD4	0.917784	2.36673	1.62192	0.876925	0.568014	1.65085	1.18646	1.52799	0.627118	0.857218	0.656353	0.732066	0.696569	1.23651	0.867096
ACBD5	2.2474	2.54201	0.125574	2.47516	2.0171	3.45613	3.01031	3.26888	0.219271	0.023302	0.0381	0.035065	1.54672	0.035983	0.750369
ACBD6	30.9167	28.0692	32.9726	20.0064	28.5298	20.3054	27.0412	30.2258	32.9797	38.7529	59.9565	37.7412	26.1567	27.3731	39.61
ACBD7	10.4776	6.17479	4.77959	0.247797	7.20198	4.27674	7.51467	2.50974	0.121442	0.209721	1.53949	1.25503	2.79386	1.55136	2.51482
ACCS	0.833391	3.6152	1.71344	1.15393	0.957866	1.30788	2.49654	3.68181	1.50664	1.8008	0.29072	2.95028	2.01762	1.87372	5.10309
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	22.5202	12.1467	23.471	8.90307	19.1726	15.5303	25.0981	8.69815	20.715	11.4328	29.9329	23.0527	16.5806	23.5567	14.4188
ACE	10.6175	6.36284	15.1049	16.7501	6.53849	14.1072	14.7306	22.3711	9.052	7.77429	3.10808	22.0959	19.2125	22.0606	12.4294
ACE2	0	0	0	0.101621	0.168073	0	0.483674	0.323611	0	0	0.134457	0.207687	0.209653	0.231814	0.145649
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	1.89945	4.23388	4.05183	3.42936	1.90895	2.33492	4.58762	0.935912	5.53986	2.87288	1.2811	3.8314	10.0215	8.51419	4.37885
ACER3	4.88924	12.4944	5.14743	5.94737	11.9485	6.21309	7.4312	11.4353	11.153	14.0113	2.90693	9.34159	7.15493	6.27097	7.34095
ACHE	0.030919	0.042541	0.598012	0.199097	0.225474	1.00398	0.178838	0.130345	0	0.417964	0	0.384126	0.220607	0.253818	0
ACIN1	18.7484	11.0258	11.2951	9.17329	12.2587	15.7022	14.6705	13.4726	9.4433	15.1147	6.94941	12.9698	8.22369	7.10581	12.8016
ACLY	20.676	24.9397	25.1239	37.6574	27.0342	27.6857	22.4132	36.4827	25.0124	33.9355	27.2457	25.1816	19.7422	17.6368	21.7689
ACMSD	0	0.104177	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	6.15932	16.3262	14.2872	20.2456	6.12953	10.2301	16.0531	11.1775	13.1492	14.3594	22.079	10.5885	17.4444	16.0088	14.6025
ACO2	43.7081	29.6469	48.9729	40.646	31.8715	21.7902	32.2114	29.6379	37.5727	67.1363	27.5368	26.1172	27.8619	21.2808	29.6506
ACOT1	3.18426	5.08752	7.00878	3.98073	5.14565	5.10254	6.88926	4.99358	5.39395	17.473	10.5679	5.69731	4.83211	9.24415	7.09161
ACOT11	2.73951	8.18997	6.22825	4.01805	5.02109	1.40519	4.67105	4.16725	3.92709	29.3072	2.76343	3.68152	2.24254	4.55698	2.50855
ACOT12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT2	10.6071	14.8378	22.1253	15.598	11.1641	18.7239	21.2864	16.5506	25.3864	49.4895	28.1245	23.558	18.5435	29.3129	18.9498
ACOT4	1.01259	2.68392	4.39524	1.69026	1.36696	1.35465	1.59123	3.51312	3.5486	6.59027	1.63337	2.53937	4.03677	4.33166	3.76114
ACOT6	0	0	0	0	0	0	0	0	0	0.511256	0	0	0	0	0
ACOT7	46.6556	18.2511	17.786	9.47967	28.816	5.56834	44.1711	13.7663	31.5378	48.5764	16.3162	14.0657	16.545	21.0844	8.6531
ACOT8	13.3994	17.1859	24.7818	10.1202	25.6937	11.9844	11.0335	20.3402	14.3242	17.0473	11.6999	17.0007	16.3988	14.4508	15.0103
ACOT9	4.39041	0.44975	2.04464	4.43749	0.127479	4.54418	6.45137	6.55894	2.57902	15.8485	4.18363	4.2157	6.63807	0.801447	3.59379
ACOX1	7.58338	9.87979	6.93878	8.86408	6.22475	9.16172	11.8832	15.6065	7.84636	7.03633	11.5807	8.7244	7.29705	9.85975	6.84619
ACOX2	0.326486	3.46208	1.80193	1.98962	0.470513	4.63597	0.858804	0.816149	0.275005	0.453885	0	1.74981	1.0338	3.83261	2.22177
ACOX3	4.73601	4.36454	5.79341	4.40631	2.72168	5.92884	4.32968	4.50176	2.4829	2.47411	4.35853	6.94902	2.71448	7.78514	3.26632
ACP1	57.8041	52.4105	39.7745	35.313	78.8371	23.2579	46.9247	47.4971	52.409	72.0218	39.5666	38.1101	34.5327	60.6547	31.8783
ACP2	15.4039	20.9728	34.9396	25.3176	11.4461	28.347	22.1844	34.4942	21.3111	29.7402	16.1249	31.5279	37.6244	17.9484	19.8543
ACP5	6.72464	10.2544	27.7249	55.2163	25.0021	71.9737	37.0945	92.8755	37.7843	21.1735	55.3141	161.604	48.9664	24.4604	5.02812
ACP6	3.75367	2.62237	0.35904	1.2032	0.633537	1.17251	4.4128	4.60999	0.225435	0.741105	10.8419	1.1713	5.39388	4.31507	2.61265
ACR	1.95191	0	0.604961	0.255545	0.35361	0.433197	0.309101	0	0.616442	0	0	0.288599	0.666126	0.337359	0.611437
ACRBP	0.848609	0.412215	0.281219	1.06126	0.949345	1.74426	0.543242	2.17691	2.67517	1.58129	0.397687	3.25017	0.919991	0.760683	0.348578
ACRV1	0.281957	0.29737	0	0	1.78399	0.389612	0.620272	0	0.677034	0.251872	0.038377	0.632839	0.655652	0.514363	0.412507
ACSBG1	0.283839	0.422888	0.282563	0.207775	1.12441	0.152273	0.248102	0.123817	0.439733	0.274637	0.126255	0.285349	0.130841	0.279649	0.094671
ACSBG2	0.122368	0	0	0	0.12815	0	0	0	0.128296	0	0.114416	0	0.261781	0	0.220474
ACSF2	0.440789	0.592902	1.09646	8.62385	1.58586	4.5286	2.13819	9.75877	0.610065	1.43509	0.72641	4.58984	2.49889	7.41015	3.06581
ACSF3	0.724397	0.945676	0.532607	0.673065	0.799299	1.76756	1.23416	0.763715	0.329048	0.838494	0.460318	2.04138	1.10182	2.92354	0.736825
ACSL1	12.4776	12.1185	16.8796	20.3095	17.2194	10.4038	20.6267	29.9098	19.4771	20.7558	11.1711	19.1153	11.2998	27.4086	8.72922
ACSL3	8.99019	13.7404	10.1589	18.3127	9.45277	7.16019	7.03516	19.1416	5.52178	7.6748	7.01391	6.11297	7.63401	12.4224	8.62055
ACSL4	3.17042	0.637382	6.37738	6.16652	2.97927	3.28976	3.251	17.5256	6.17311	3.73511	3.54117	0.786302	4.36287	2.97514	1.75102
ACSL5	0.30428	2.67891	0.424221	11.6176	1.8328	5.86002	4.94445	12.9277	0.374916	0.602026	0.109882	5.93839	2.72049	2.71159	0.018733
ACSL6	0.302594	2.55881	0.341386	0.154825	0.853332	0.054591	0.00997	0.010387	0.999449	2.79894	0.00152	0.055202	0.349708	0.16071	0
ACSM1	0	0.654935	0	0.120457	0	0.246488	0	0.895603	0	0	0	0	0	1.3191	0.534571
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	0.004234	0.504822	0.148357	0.414645	0.046412	0.69741	0.748552	2.18921	0.092116	0	0.012157	0.902763	0.560355	0.945116	0.021797
ACSM5	0.11099	1.02243	0	0.310995	0.230304	1.21195	0.299392	0.790215	0.200671	0.25206	0.231715	0.57745	0.370391	0.348252	0.456816
ACSS1	2.80833	6.27046	3.92475	12.6552	3.86342	4.66302	4.29568	39.326	7.6199	4.13485	44.5931	7.73351	4.20215	16.5375	2.92787
ACSS2	1.85322	0.054961	0.182918	0.041147	1.55856	0.163371	1.42784	3.03927	0.051169	0.046714	0.860812	0.05946	0.029525	0.046401	0.186108
ACSS3	1.63496	20.6313	2.91374	0.896172	4.32508	0.628603	3.13476	1.57637	1.28032	0.269464	1.22207	6.79578	2.85904	1.72783	2.05739
ACTA1	0.057972	0.018778	0	0	0.044194	0	0	0.31485	0.359433	15.861	0	2.18711	0.261768	0.063279	0.170318
ACTA2	70.2463	119.397	137.788	214.183	196.002	167.75	65.2279	88.9761	86.4703	39.0983	48.1041	223.558	258.701	151.522	272.338
ACTB	1426.46	2135.65	2591.31	2520.28	2449.31	2482.97	2058.87	2849.94	2728.63	2429.35	1532.45	2320.91	3463.97	2311.25	2117.55
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	0.158094	3.94898	0	0	0.448139	1.40376	0	0.479634	0	7.18098	0.888253	0.162937	0	0	0.181607
ACTG1	1176.49	1760.28	2427.71	2574.02	2260.69	1474.24	1969.53	1592.16	2747.77	2014.7	2176.23	1467.92	2875.83	2688.89	1951.05
ACTG2	10.2125	12.345	10.8231	4.10573	12.1695	3.22817	4.51919	18.5794	2.49689	1.25783	2.67525	27.2466	8.10929	21.4534	44.2988
ACTL6A	131.449	97.0477	118.493	100.402	126.555	71.2135	99.856	100.297	149.27	74.0393	69.8116	96.9556	99.095	104.208	101.602
ACTL6B	5.60606	55.1636	24.7386	13.658	38.5801	22.4818	7.87156	0	29.2251	23.944	4.12995	14.7791	11.5992	23.067	19.1525
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0.39358	0	0	0	0.16461	0	0	0	0.16139	1.40201	0	0	0	0.543591
ACTN1	22.0106	32.4028	25.5583	37.2221	31.2801	39.4755	37.4216	52.9176	25.4052	27.0916	34.6233	29.1868	41.0981	28.8748	53.4098
ACTN2	0	0.109926	0	0	0.12227	1.29267	0.074802	0.11824	0.105704	0.197835	2.15286	0.449455	0	0	0
ACTN4	118.128	95.5189	203.413	208.623	80.4468	77.1172	98.4307	152.258	90.1475	83.1803	64.3817	120.298	105.828	135.302	144.537
ACTR10	38.5179	30.7281	31.9144	16.0419	25.5466	26.72	28.2078	28.234	25.6163	25.7186	31.6942	20.7214	29.3085	33.3605	35.1387
ACTR1A	47.5224	35.0636	42.1831	41.3102	60.8509	48.6011	57.2445	29.8109	88.7754	71.0719	54.4564	51.0651	62.4971	88.8345	41.2965
ACTR1B	56.2211	66.4645	54.1145	45.4875	49.736	49.6598	33.9874	40.7289	47.4744	73.8608	15.8534	55.7234	33.331	74.57	35.2594
ACTR2	68.9716	70.6072	36.5386	84.9169	73.6006	77.779	74.7961	123.508	77.805	63.9353	71.365	67.5269	61.3468	77.6374	71.5581
ACTR3	65.3407	61.4515	51.8177	73.5194	77.8496	67.9033	61.2509	113.168	59.4019	53.4966	65.5063	73.9896	60.1021	70.8206	68.6231
ACTR3B	5.02752	5.03697	2.28643	2.08831	11.0744	26.0793	4.298	1.69189	3.18235	11.0034	15.9766	2.38827	1.29444	6.88417	3.4005
ACTR5	6.14271	4.8509	6.17291	3.43837	4.48777	4.62019	7.88338	6.67428	6.88175	9.14346	9.71419	4.84962	5.45157	6.19048	9.77765
ACTR6	14.9477	10.0167	8.05785	10.9152	12.9417	7.20412	15.5415	16.2199	9.9076	8.1832	19.2124	5.41327	7.88182	12.6243	9.21824
ACTR8	6.6666	10.9276	9.00445	13.8918	14.2566	16.5074	9.79611	9.20725	6.51468	10.2698	6.67042	6.79631	9.26959	8.86553	9.9068
ACTRT1	0	0	0	0	0	0	0.250194	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1	6.31761	8.82629	9.297	15.9248	10.4252	9.89312	10.6539	10.8477	17.3183	4.47839	4.13864	8.4648	10.208	18.5601	11.8196
ACVR1B	24.3357	7.32057	21.118	21.0772	21.5397	15.4304	23.7594	21.1122	27.9869	23.5356	20.3179	13.9425	17.0482	23.0136	12.2118
ACVR1C	0.616967	3.85828	1.47156	2.21109	1.67619	0	0.747883	0.696165	0.933961	0	0	0.050873	0	1.19501	0.493013
ACVR2B	5.71493	3.02766	4.23853	3.89794	8.32756	6.351	3.17043	3.64828	4.17729	4.31582	4.90564	4.01486	5.09263	5.05853	6.15396
ACVRL1	1.93753	1.94002	3.66826	3.94609	3.40418	5.36456	2.79697	4.66293	2.91932	3.90794	2.9679	10.6468	8.37174	4.44942	9.14636
ACY1	0.155959	0.095445	3.05582	0.127023	0.254277	0.152413	0.074084	0.106584	0.943752	0.500359	0.117284	1.3726	0.284665	0.756448	0.293405
