Gene	length
MYLIP	19163
NOX1	31036
E2F2	24796
PSMB1	18188
SYN1	47957
JARID2	275974
CDKL5	228025
CAMK1G	30226
CDK11A	21979
NADK	28800
TFAP2B	28749
TFAP2D	59490
DLEC1	84818
CYTH3	110846
ADAM22	268639
SYPL1	22215
CYB561	14003
SPAG9	158695
CELSR3	26424
AASS	70701
PLEKHG6	18071
SS18L2	13159
MPND	16560
MGST1	29548
CRY1	102186
PGLYRP1	3901
NFIX	103313
ST3GAL1	117040
MMP25	14166
IL32	4417
PKD1	47191
MAPK8IP2	13185
MED24	35305
RHOBTB2	32949
HEATR5B	103478
SEC62	31567
RPS20	7212
CSDE1	41138
UBE3C	130445
REV3L	184685
PAX7	118021
MASP2	20717
IYD	36958
FAM76A	37156
TRAF3IP3	26258
POMT2	45927
VTA1	77423
MLXIPL	31321
BAZ1B	81888
RANBP9	90338
ETV7	33582
DYRK4	53095
ZNF207	20312
UQCRC1	10645
STARD3NL	52424
CD9	38321
HHATL	10136
NCAPD2	37854
IFFO1	17082
GIPR	15502
PHF7	12982
SEMA3G	12069
NISCH	37465
STAB1	29158
FUZ	6427
SLC6A13	42253
IDS	28318
PRSS3	48766
ZNF200	12834
CD4	31272
LRRC23	9408
BTK	41350
HFE	10915
SCMH1	215105
FYN	213121
HIVEP2	193708
FMO1	37508
LYPLA2	4395
CLCN6	37049
MRC2	65928
NME1-NME2	18186
SLC6A7	21002
TSPAN9	209210
BTBD7	95487
APBA3	10921
MKS1	14170
ABHD5	43434
AKAP8L	38939
MBTD1	82625
UTP18	37388
RNF216	161617
TTC19	29581
PTBP1	14861
DPF1	18709
SYT7	67363
LARS2	160832
PIK3C2A	121412
PLAUR	24252
ANLN	63930
WIZ	29979
RABGAP1	163847
DCN	42334
QPCTL	11322
PPP5C	43889
CEP68	30589
MAP4K3	188020
ZBTB32	12481
TYROBP	3893
TMEM159	21943
GABRA3	285082
BRCA1	81070
ERCC1	44214
CD22	18193
SEMA3B	9613
MBTPS2	45807
PRICKLE3	11676
LTF	49229
EXTL3	54099
NR1H4	90549
ELOVL5	81782
ALOX5	71954
KDM5D	40862
CALCOCO1	18936
UBR7	21961
MAP4K5	114095
EHD3	35300
PSMC4	10760
MAN2B2	48174
SLC7A14	126529
CLDN11	15824
SLC25A39	5246
MVP	27646
NUB1	36701
PGM3	29028
RWDD2A	5579
CLK1	11650
POLR3B	152451
ANGEL1	26874
RNF14	23455
DNASE1L1	10862
DDX11	30940
HEBP1	25396
GPRC5A	26376
MAMLD1	150860
CD6	48698
TACC3	23651
POLA2	36724
ZC3H3	103789
CAPN1	30634
MDH1	18235
SLC30A9	99932
MTMR11	8230
COX15	37835
CCDC88C	146498
YAF2	81265
ZMYND11	124385
WAS	7631
DPEP1	25124
BID	40526
MATR3	57926
NPC1L1	28796
XYLT2	15060
STMN4	23097
NUDCD3	111540
ISL1	11283
CHDH	34085
IL20RA	45210
CLCA1	31333
CLCA4	33677
GLT8D1	11600
ATP2C1	166118
IGF1	84690
SLC38A5	11722
RALBP1	62602
RUFY3	86656
CNTN1	379977
SLC11A1	14622
WWTR1	207560
AGPS	151062
CXorf56	27261
ATP1A2	27833
TTC27	193002
ZNF582	10784
VSIG2	4782
PHLDB1	51588
MARCO	52492
CYP24A1	20541
SYT13	46040
SNAI2	3832
CD74	12716
HGF	71038
ZRANB1	46067
NCDN	8988
ZFP64	107975
MNAT1	235205
SAMD4A	226185
RUNX3	65500
PLEKHB1	16239
SERPINB1	9532
CYP3A43	38081
SLC7A9	39257
SPAST	94027
NRXN3	1697919
OSBPL5	78204
AQR	117961
CPS1	201423
C8B	36931
FHL1	63822
GABRA1	52769
NLRP2	35855
SLC45A4	47464
RNF10	43233
ZNF839	25798
ZDHHC6	23161
GRAMD1B	269368
RNH1	12728
NDUFS1	44628
RB1CC1	92009
ERP44	119816
ALAS1	16245
BIRC3	21920
AKAP11	51110
GLRX2	9650
SNAPC1	34009
DERA	126050
STRAP	21092
ABCC2	69955
DEF6	23954
PLEKHO1	10637
GCLM	24400
UBR2	129484
EHD2	29713
DEPDC1	22931
CCDC28A	19800
RRAGD	47658
HSF2	33569
PHF20	178356
HSD17B6	24467
NR1H3	20734
TYMP	4334
NCAPH2	16557
TOMM34	18268
SEC63	90453
KPNA6	68508
VIM	9353
FAS	26262
RNASET2	34438
CD44	93232
KCNG1	19452
AGPAT4	144095
SLAMF7	15765
BTN3A1	12934
MIPEP	159212
PRKCH	229538
INSRR	19055
IFNGR1	21947
B4GALT7	10199
SH2D2A	10606
VRK2	252270
TNFRSF1B	42230
VEZT	85045
POU2F2	46324
BRD9	29061
SNX1	48250
TBPL1	37209
ARNTL2	92978
BCLAF1	33220
SLC39A9	64007
ANK1	243516
IBSP	12882
TFB1M	58351
RABEP1	104082
HMGB3	10265
NUP160	70462
BAK1	7725
MUSK	137768
IKZF2	152759
GRN	8021
FAM13B	95205
ARHGAP31	126332
CENPQ	29738
RANBP3	62002
ARID4A	75322
PNPLA6	27601
IFT88	124288
ALG1	15537
ZCCHC8	29333
ABCF2	15722
CHPF2	6340
LRRC7	577031
FUT8	333530
UBA6	88504
GAB2	202528
ATP6V0A1	63734
PIAS1	137286
SLC4A7	111662
APBA2	279399
MAP2K3	30522
EFCAB1	20397
TMSB10	1016
ASTE1	12982
RNF19A	79138
PEX3	39812
GABARAPL2	11503
MYOC	17272
SH3YL1	46731
FAM136A	6092
VCL	123248
DEPDC1B	103255
DAPK2	139450
NSMAF	76346
STAP1	48611
TIMP2	72411
RFC1	78907
TBC1D23	64247
CUL3	115248
MYOM2	100220
OTC	68843
CYP46A1	43004
SLC18A1	38352
USP2	26476
CASR	107962
TUBG2	7723
RPL26L1	11043
FLT4	48095
NSUN2	33806
FBXO42	105641
MFAP3	18484
MRI1	9761
METTL1	3635
HOXC8	3785
AGA	11730
PI4K2B	45172
MAT2B	16290
TLL1	231221
EDC4	11448
TRIO	366863
VCAN	110630
CLEC16A	237623
MSR1	84914
CDH1	98246
DNAH5	254153
ZFYVE16	75316
C6	119324
RAI14	176285
SOX30	45802
PNKP	6373
BEST2	6668
PHLPP2	79778
STAU2	326559
CTNS	26636
RTN4R	26904
PHF23	4420
CDH10	157879
INPP4A	149535
RAB27B	67040
PSMA4	11974
MYO16	612101
LSG1	31401
PARP3	6563
TNC	98583
THAP3	10437
TDP1	88838
AIFM2	20668
C2orf83	23231
SPATA7	52817
MED17	30682
RETSAT	12574
CAPG	19327
AP2S1	12711
USH2A	800558
ZPBP	155806
TG	267941
ADAM28	64946
BARX2	76432
DCUN1D1	47845
ZIC2	4982
LCP2	51545
TRIT1	45395
ADRB1	3039
GUCA2B	2411
CUL7	16329
CTNNA1	181649
PHKA2	91817
CNTLN	368884
EPHA3	374514
HSPA5	6491
DSG2	50832
GEMIN8	23167
OFD1	34641
GPM6B	167903
MAGEC2	2949
PREX2	284987
WDR37	75988
YTHDC2	81591
CTPS2	124912
ATP6V1H	127769
POLR2B	52523
ARAP2	178511
TPR	63602
CP	49333
KIAA0556	230226
DTNBP1	140258
XK	46340
ANO2	383578
C12orf4	50779
SCML1	17540
WWC3	128724
ARHGAP6	528377
FAM184B	152316
MAP4	238154
GOPC	42243
ROS1	137489
USP28	77698
HDAC9	915592
TSPAN17	11568
NOP16	4989
CC2D2A	131692
RRM2B	34460
ZNF800	22666
TNFRSF17	2859
SNX29	597554
LMO3	59843
MRPS10	11055
GUCA1A	24707
RSF1	154607
VPS13D	282013
CELF2	874162
FAM120A	114428
R3HDM1	193786
COL9A2	16798
KITLG	87681
ERCC8	71247
ADAMTS6	333183
H6PD	36564
VAMP3	10137
PER3	60991
UTS2	5880
TNFRSF9	24969
EPN3	11016
LTBP1	452557
RCN1	14697
ELN	42119
RFC2	22957
ARID1B	434754
CLPTM1L	27348
NEDD4L	357314
FOXP3	14274
PPP1R3F	18297
HEXB	81266
PTCD2	48023
JKAMP	20965
DKK3	46375
ARHGEF5	25231
NFE2L3	34940
LIMA1	107733
LETMD1	20632
SLC4A8	124447
LAMC3	85300
PTGER3	195459
TNIP3	96076
MAPK9	58941
COL23A1	352776
BCAR1	39827
FAM160A2	23292
HERPUD1	12723
HOMER3	12015
RAD51	37167
POLQ	114558
PIK3CB	182231
CYBA	7765
THOC3	8785
HEBP2	17975
MPHOSPH9	78927
PLEKHA5	246668
PRSS8	4295
SIKE1	11207
RRP12	44984
FNIP2	139025
TTC17	136012
ALX4	49700
FSTL4	416086
FOXN3	462989
AKR7A2	9439
MRTO4	8324
NNAT	2441
USE1	4473
MCF2L2	250266
NRIP2	9688
LAMA3	266770
ANAPC4	41236
KCNQ1	404098
TRAPPC3	19485
THRAP3	80915
PHPT1	1616
ENTPD2	5955
LY75	101402
ARID4B	161278
OPN3	47246
SDCCAG8	244088
PTPRN	19779
HHAT	348043
KIF1B	171031
FOXC1	3983
TBC1D22A	412829
SYNE2	373485
PLEKHH1	56323
ATP9A	171877
SPO11	14191
CBLN4	8163
CHRDL2	34998
FAM168A	197626
RELT	21076
GALC	60652
NOP58	37899
KCNH2	33361
CUL1	103355
FAM114A2	48763
CYFIP2	129470
TAB2	193682
EIF2AK2	57771
USP36	44876
MCOLN3	30459
CCDC85A	202183
PUM2	103541
MRPL43	9678
ITIH4	17712
ITIH1	14464
ZFR	90391
ZNF280C	66193
NPFFR2	116398
PHF21B	128845
TRAF1	26781
RC3H2	60804
IL17RB	19227
TRAF3IP2	50897
GYG2	53999
DCBLD2	105755
SERPINB3	6697
SOAT1	64967
PKP2	106101
MSH4	116361
F7	14894
GDI2	48327
PRDM1	23603
ATG5	141345
TMCC3	83436
MTA3	262379
USP13	136362
ATP11B	128126
LAMC2	58864
CDK14	614271
SEC61A1	19247
PPP1R12A	161893
RASGRF1	130830
CAMK2B	108482
CROCC	51034
POLR3E	37729
ATP2B4	117295
ZC3H11A	58592
RIOK2	22381
YIPF1	38065
DGKG	215034
FLYWCH1	39230
UNKL	51500
TBXAS1	242081
PARP12	39203
ALDH18A1	50771
TARBP1	87867
MXD1	27905
CDK17	122179
DNAJC25	23012
SLC2A3	16958
PSD	17318
CTDP1	76823
STYK1	55130
WNK1	158874
CCAR1	71139
OGFR	9166
GNA15	27717
CREB3L3	19424
PIGV	10441
PTPRU	90279
SNRNP40	37221
RIMBP2	320167
COL11A1	232050
QSER1	87460
ACAA1	14533
BCAT1	139078
HDAC7	37182
LZTS1	57799
PRDM6	105025
WNT8A	7650
SPAG4	5266
NCKAP1	129343
MRPS35	45532
TNK2	45645
MON2	133651
CDH3	54983
ARSF	72496
GPBP1	90732
DGAT2	32804
CS	28632
LTK	10191
MRPS24	2960
ELMO2	41007
APPBP2	83092
POLD1	33696
SEZ6	51536
EIF4B	35760
SLC6A16	35554
SPHK2	11116
RPL18	3848
CA11	8242
ISOC2	8658
U2AF2	20667
EPN1	34308
MED29	9264
AHRR	134116
GSC2	1293
ZNF275	18774
MTMR1	72142
GPC1	32414
ADCK1	134906
HAGH	19197
RNF4	46752
CASP8	54269
LIMCH1	340438
TM7SF3	42806
DLX3	5220
SPA17	20951
TSPAN32	16188
DMRT3	15078
ST3GAL6	63610
ATP2C2	95665
NGFR	19716
CDON	106475
TAF2	102068
HIPK2	231482
TNPO3	100994
RFXANK	9671
TMEM161A	19310
LPAR2	4566
CTSA	8677
SLC12A2	105912
SNX24	163593
EYA2	294230
CNN2	12458
ABCA7	25466
SNCAIP	152151
DDX20	12100
BTBD1	50830
FAR2	186339
BCAS1	127228
POU1F1	17181
CHI3L2	15782
SBNO2	66631
PMS1	93545
HMG20B	6140
CALCRL	106289
TAF11	10581
ANKS1A	202152
AP3D1	50579
ZNF76	36251
SLC9A3R2	12125
NTHL1	8015
UHRF1BP1	85432
GNAI3	51581
IPO5	70622
OAT	21674
WDR3	36805
PKN2	152112
WDR18	11629
TRAM2	79653
NTN1	222491
GLP2R	66176
MCM10	49553
DGKA	22862
ERBB3	23483
ROPN1	23156
ANKRD44	324119
ADAT1	26414
PDIA5	95080
TBC1D22B	75199
NDUFB4	6172
SPEN	92750
MYLK	274284
ZC3H15	23102
MAP2K4	122952
SNAP91	156524
SLK	62094
CYB5R4	107735
COL17A1	54595
GSTO2	35767
SEC61A2	40318
PRKCQ	186205
TLE2	49998
ASB1	25324
FAM107B	256341
ME1	220650
TBC1D1	248090
CDK13	149325
MTHFD2	18951
SLC9A7	159868
FOXJ2	22802
YBX1	21388
PDE4A	52859
PPP2R5A	76444
CTNNA2	1135934
ELAVL1	47069
TIE1	22127
DIP2B	243673
SMARCD1	15366
KDM4A	55370
NFYC	79900
ZMYND12	25939
SLC9A3	53994
NGEF	134556
ASPM	62568
CD84	38423
ELOVL1	4678
SPI1	23688
ZNRD1	3643
MPPED2	201861
CLDN18	34834
ZBTB11	28244
ATXN3	48070
GOLGA5	45643
FGFR2	120129
LRRC40	60775
ISOC1	19280
EML1	148648
TRMT11	52847
THUMPD1	8155
KIF26A	42176
ATG2B	84147
ARFGEF1	146124
ACSM2B	40142
ZFAT	235244
MTFR1	65829
STAG3	36664
FECH	42326
MYO9A	295860
DDX3Y	16481
PFKP	69255
IDI1	17553
SP100	129406
KLF6	9286
NEO1	252743
TRAM1	35199
PHKA1	135491
TNFRSF1A	13306
CACNB1	24217
EVI5	283715
STOML1	13370
DHX29	51640
DNTTIP2	12923
TP53BP1	107580
TRO	10869
RRP15	52691
RHOA	52832
DHX8	60825
PRKCZ	134985
ZFY	47126
IARS2	53910
SYT1	588027
NAV3	382117
IDH3G	8608
ROGDI	5989
PDZD4	28722
ATP2B3	46808
ROCK1	164908
CBFB	71910
PDK3	85181
HYAL2	5061
HDAC4	352780
RASSF1	11151
FGFR3	15575
IFI35	7673
HEATR6	37914
COASY	4130
PLEKHH3	9081
MEF2A	151072
OTUD5	36343
TFE3	14647
TBC1D25	22991
ACSL4	92058
INPP5A	245694
GPKOW	9741
GRIPAP1	28542
FTSJ1	10344
PRR11	50964
REEP1	124091
ATP11A	196840
POLR1A	85671
LAPTM4A	18979
TTC7A	160258
IP6K2	29276
STON1-GTF2A1L	246593
SRBD1	222588
KIF2A	81023
RASGRP2	18546
PSME4	106925
IFT80	142240
SIRT2	21308
ERLEC1	31889
PPP2R5B	9787
PYGM	14327
PAGE1	8538
PITX1	6495
TRPC7	152166
MAST4	573201
SDK2	310062
ADAM7	68540
NUP133	68083
NUCKS1	37361
VPS35	33047
DNAJA2	18312
BCL3	11337
KCNAB2	108505
ABCC9	139306
GAL	6632
CLEC2D	29841
FUNDC1	19221
MAOB	115840
RORA	741019
DRD4	3438
TGFBR3	225660
PLA2G10	22026
HES2	4688
ATP1B3	49907
NEDD4	166691
PIGB	36427
MAPK6	48157
GNB5	76293
RAB27A	86848
LRP6	151020
GUCY2C	83968
SCT	873
PHRF1	35753
NUCB2	55473
PFN2	5992
PTPN3	122608
SPTB	133625
DAPP1	53364
FGF10	89174
SLC44A1	193911
SMG6	243943
EXOC5	68399
CLTCL1	112257
FGF22	4479
FSTL3	6994
DGCR2	86173
RNF126	15689
MNT	16988
ZXDC	38291
JMJD6	13771
POLB	33315
ST6GALNAC1	18995
WIPI1	36244
FRMPD1	143676
GBA2	12363
NDST1	60433
ASNS	76765
AP3M2	18238
CNGB1	88789
ST6GALNAC2	20484
CHAT	56010
PABPC1	19173
TESK2	147281
CSNK2A2	40200
PTPN21	89230
EIF2B3	136201
CAMK2A	70640
TCOF1	42670
CDC42	48652
OSBPL3	183639
EPHA8	40107
SLC12A3	50644
RAD18	86398
ATP2B1	121318
TRPM5	18531
NCK2	149360
MAP4K4	196988
MGAT4A	112027
RPL31	17465
WDR1	42461
SNX13	149733
MS4A12	14653
ARHGAP10	340689
RPS6KA2	453162
ING3	26440
VASH1	21548
LMCD1	72846
SEL1L	62307
TRIP13	25237
ATP6AP1	7840
TCF3	43324
TRIB2	25863
DAZAP1	28099
MBD3	19270
PRLH	602
HLTF	56471
FAM50A	6515
FAM3A	10077
CPSF1	16274
MYO3B	477021
CYBRD1	35897
CDH19	103008
PDCD2	9343
SLC6A15	53309
RDH11	18965
PRKACA	26075
SPP2	26433
ACTN1	105244
ZFYVE26	70069
RPS6KA6	129850
EPN2	99339
PTPN18	19350
LIMS2	43365
SPEG	58787
LNX1	132186
ALDH3A2	29447
TFRC	32807
SREBF1	25663
TRPC5	308463
AFF4	88240
UBE2D1	35775
MPP5	94627
RHOBTB1	132003
SMC1A	48608
HSD17B10	3118
MARK2	72093
HMMR	31310
CHFR	55250
TRHDE	392894
P4HA2	37707
FCGR2B	15540
NFATC3	143890
TRNT1	26496
ACADVL	8143
STK10	146146
FBXW11	145322
ACAP1	14949
CRMP1	72323
EVC	103105
DERL2	14925
SIDT1	97205
NDE1	82972
MRVI1	120898
TMEM38A	28885
AP1M1	47996
PVR	22221
XRCC1	32267
SCARB1	87009
CYP2W1	6460
MCM2	24026
MOV10L1	71682
PANX2	9565
TP63	300534
ALPK1	145276
LLGL2	49513
PDE8A	158676
CLCN4	80716
NLE1	13574
SDHA	38860
SMARCE1	22857
FNDC8	9118
GSDMB	14056
KDM5A	109264
ADAM11	22859
PPP2R3A	182167
FERMT2	93827
ABCB11	110544
DHRS9	29091
CD5L	14741
PTGS2	8633
IGF2BP2	181913
MAP3K13	206134
ST6GAL1	148027
TBX21	12887
FRY	267352
PICALM	112685
NSF	166796
GLI2	256786
CLASP1	311687
MRPS34	1240
NOTCH3	41958
CLNS1A	23265
PPP2R2C	243219
TEAD2	21822
EED	34427
CDHR2	53258
SNCB	10478
TSG101	46632
ATP2A3	40596
CA12	60469
MGLL	134189
NTN4	133351
BCS1L	3761
NUAK1	76687
DPP8	75223
SLC24A1	49653
ZNF532	123557
SCARF1	11875
LMAN1	31443
IPCEF1	202283
ZZEF1	138586
NOX3	60472
ENO1	17687
SLC12A1	97777
ANO8	11633
TUBE1	16820
ARHGEF10L	158172
TXK	67858
WSCD2	121250
KCNQ2	72448
TACR2	13016
ACTR6	24338
TIPIN	20495
SRI	21877
EIF4G3	370606
NUP37	47012
SEMA3A	239013
GTSE1	33941
SEMA3C	179852
TTC38	26001
ACAT1	26037
GRAMD4	105669
CELSR1	176787
WNT8B	20736
ZNF638	103307
SLC25A40	42793
ADD2	111417
FGF4	4320
RASAL2	390046
ZNF37A	55957
MARK3	118468
SLC25A3	12682
FNDC3B	362092
FOSL2	24460
CACNG5	59634
CACNG4	68692
FRYL	282923
TMEM131	239613
FSCN1	13840
ACTB	3454
MOCOS	84661
PLD1	210080
ATP12A	32086
WDR62	50212
DLG1	256762
RAB7A	88616
BCAP29	43311
SEC31B	33215
SART3	38959
ARHGAP15	638934
TUBA3D	6816
PAX2	94549
EXOSC7	35228
KIFAP3	153410
MKRN2	26700
MCM6	36818
REXO2	10813
RBM7	10082
RBMS2	74374
BAZ2A	40764
PTPN23	32415
MLH1	57497
UNG	13396
FMO4	27902
KLHL20	71711
RGS11	7639
SLC46A1	11570
PLXNA2	222143
SPAG5	21452
ANKRD13A	40334
TPD52	136820
ACACB	151640
TRAF4	6946
PAG1	144259
GPATCH1	49362
ICAM3	5849
NT5C2	105290
MCAM	8602
GPC4	115387
MBNL3	120716
RAP1GAP	73137
XAB2	10021
ARHGEF1	24354
STXBP2	10764
MAP2K7	10602
DGKD	117605
CTTNBP2	162791
ACTL6B	13352
RARB	768610
TOP2B	66595
TM9SF3	68903
NFKB2	8420
UBE2T	10310
PPP1R12B	244004
DNAJC10	78208
GTF3C1	89301
IL4R	50805
USP33	63893
PAK3	283121
CAPN6	25385
DCX	118414
SNRPA	14187
SPAG6	72166
EXOSC5	10986
DYNC1I2	62690
APBB1IP	129463
LRCH4	12119
FAM76B	20830
SIRT6	8455
TYR	117885
POLD3	50495
ACTN2	78178
CAPZB	146765
GPR137B	66369
NAALAD2	58232
SLC25A43	55143
UBE2A	9861
FGFR1	57697
FKBP6	30471
SMC1B	69537
FBLN1	98253
ITGA8	206387
CST7	10660
MAP2	310064
PIAS2	114290
AMPH	247871
ARAF	10822
MCCC1	84370
LAMP3	40520
FAP	72762
NEBL	394215
ACER3	165880
UBE2K	84657
PIK3C3	132596
N4BP2	101403
TULP3	50248
SYNJ2	117314
ADCY2	433944
PPP2R5C	167405
GNB1	105833
HOXA9	3100
EDN1	6834
MLLT10	210282
ZCWPW1	27888
ADCYAP1R1	59166
FGF20	10165
P2RY10	18396
ITM2A	7169
VDAC3	14177
PCM1	107092
TNRC6C	104599
CBFA2T2	159935
ITCH	148500
PKD2L2	53291
TP53INP2	9093
SDF4	15160
MYH7B	46570
TP73	83686
TOLLIP	35262
UBE2D4	29701
CLUL1	53301
RUNX1T1	148414
CDH17	90117
THOC1	53528
FKBP7	14937
OSBPL6	208382
SLC1A3	81980
XRCC5	96946
LXN	6235
SP140	87486
MKNK1	46862
TNS1	144483
REXO1	33236
SAR1A	23226
CDC14A	167772
RAPGEF3	24518
CEACAM1	21176
DUSP13	14781
CIC	27260
LIPE	25875
FDFT1	43737
PAFAH1B3	5768
OPHN1	391152
AFM	22257
KIF22	14634
SCGN	49569
PGM1	66835
DDX1	39234
DNM2	113858
EPB41L2	223976
RIMS1	516440
MOXD1	105421
STX7	67250
RABL2B	16131
KEAP1	17232
DDX43	22739
PTPRH	28255
DCT	112596
SLC35C2	18442
EPHA6	946939
SCTR	84610
RFX3	307705
RIF1	72271
RAB21	45424
SLC4A4	384825
SMARCA2	178274
RDH8	8797
SESN1	110538
MID2	105772
COL5A3	50944
SRCAP	42239
CPB2	51890
CHRNA3	27945
KCNN2	440519
CNOT4	148329
PSEN1	87185
CPOX	14166
CLDND1	7594
HSP90AA1	59008
RBL1	99649
DLGAP4	262778
IGSF9B	48387
CFHR2	15885
NDC80	45079
AP4E1	97213
RSBN1	50645
MAGI3	295409
CXCL2	2156
AFP	19954
COL4A4	161492
TCF7	33530
OSTM1	33333
CDH7	139326
IMPG2	98030
PCNP	20372
EXD2	52544
ARG2	31789
MEF2C	185865
PTPRC	118508
CACNA1S	72915
PKP1	49542
UBA5	23662
STK17B	37996
CDC14B	119731
ZNF510	23581
LRP2	235426
ZNF506	29040
JMJD4	4223
DUSP12	7453
AACS	77882
SLC13A1	86439
CADPS2	568336
PCDHB4	3806
PCDHA6	184388
PCDHGA2	174216
HSPB11	24748
PHLPP1	264893
ATP8B1	156890
IL12RB2	89537
SMARCD3	38370
WDR70	374118
MPP4	53771
STRADB	29107
BZW1	15429
PGR	100190
C1QTNF3	25356
ME2	75140
C5orf22	22753
CCNT2	40521
FAM135A	147771
COL19A1	345724
EPB41L3	236611
COBLL1	184146
DLG3	60656
KCNK2	231549
SERTAD4	13836
TRAF5	48332
MRPL22	28339
GEMIN5	50801
OPRK1	25982
NFE2L1	13187
SEMA5B	118682
GSK3B	273127
ITGB5	139464
ERC1	504709
XPO1	60508
RNF13	149452
TRPM3	917912
PALB2	38146
LYRM2	6524
BCKDHB	239661
ULK2	97107
GRHL2	177288
TNPO1	100081
PLOD1	40821
P2RX5	22929
ITGAE	86561
DIS3	29732
PIBF1	234329
TDRD3	177423
NUFIP1	50223
PDS5B	191569
OXCT1	140361
RRAGB	41026
EPYC	41291
CYLD	59886
SLC27A5	13733
ZNF324	8357
ZNF671	7874
ZNF416	7362
ZNF586	10965
ZNF446	12355
ZNF264	31347
RPS5	7536
FAT1	136063
YTHDC1	39704
CHMP2B	28248
SMAP2	49596
PPIE	25070
ZMPSTE24	35945
STARD7	23977
REST	27945
HAL	23704
SSH1	79393
GSTP1	2842
APLP2	74912
SLCO1A2	130838
WBP11	18897
EIF3I	10021
NKAIN1	60143
COL16A1	51755
TXLNA	18611
APOB	42645
NCOA1	279449
AGBL5	18951
EFR3B	117060
KIF3C	55900
RAB10	103371
GCKR	26846
HADHA	53997
MAPRE3	56583
CAD	26575
CD59	33470
CD82	54696
BCORL1	52895
ATRX	281347
FCN1	14681
MYNN	16321
MECOM	580206
SCAMP1	120122
PREP	129865
HACE1	131826
SEH1L	39553
WDR47	72015
WDFY1	69988
OVGP1	13417
SLC25A24	66301
MAP3K4	125659
PILRA	26610
IGSF9	18573
ABCB1	209461
ZNF213	7776
AKR1B1	16890
CPNE3	47063
RRN3	34314
CTTN	38079
WNT11	20178
MTIF2	32637
DDHD2	31279
TTC39A	57859
EPS15	165004
MGST2	74978
CHERP	24544
ATG16L1	44104
USP40	91692
POMGNT1	31625
RAD54L	30786
MAST2	232518
DNAJA1	14705
B4GALT1	56718
CHMP5	17191
NFX1	80642
AQP6	4193
IPO11	215844
FOLH1	63511
EIF2AK1	36983
EPDR1	31381
SNX10	82452
SEPHS1	30866
MRPL28	3570
HBQ1	721
ITPKC	23749
